Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,0,0,76,292
Lugo,0,0,0,0
Ourense,0,0,29,154
Pontevedra,0,0,32,157
GALICIA,0,0,137,603
CANTABRIA,280,406,0,0
Álava,14798,77690,0,0
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,14798,77690,0,0
NAVARRA,11152,46904,96538,301811
LA RIOJA,19172,85375,0,0
Huesca,177750,634116,21991,71929
Teruel,104201,371829,13891,40717
Zaragoza,75700,271670,29007,90557
ARAGÓN,357651,1277615,64889,203203
Barcelona,40519,127431,1695,6873
Girona,16205,39519,1500,3671
Lleida,95128,252402,16000,38000
Tarragona,10654,49505,2339,10140
CATALUÑA,162506,468857,21534,58684
BALEARES,8299,24212,12448,36319
Ávila,62240,193750,18453,49823
Burgos,199426,902309,5097,22886
León,27383,114776,2500,8500
Palencia,173953,711262,10000,31502
Salamanca,55063,220953,15905,61096
Segovia,87042,389941,36017,150548
Soria,118491,510837,6000,25800
Valladolid,272072,1036853,30000,117400
Zamora,84259,276574,21065,66721
CASTILLA Y LEÓN,1079929,4357255,145037,534276
MADRID,43174,166333,3001,8754
Albacete,78959,304100,82340,255270
Ciudad Real,0,0,169479,572765
Cuenca,224911,1064075,64500,318150
Guadalajara,93903,377420,26000,104500
Toledo,170512,569053,7538,26564
CASTILLA – LA MANCHA,568285,2314648,349857,1277249
Alicante,3552,6472,393,703
Castellón,2330,4693,1050,2362
Valencia,4484,16783,3670,13738
C. VALENCIANA,10366,27948,5113,16803
R. DE MURCIA,6877,8070,36096,59181
Badajoz,73075,230917,6355,20082
Cáceres,2235,6481,195,566
EXTREMADURA,75310,237398,6550,20648
Almería,0,0,9870,31831
Cádiz,678,8636,6698,12763
Córdoba,2917,6563,11670,22034
Granada,21217,47897,34618,64037
Huelva,240,600,1107,2400
Jaén,4231,16451,3752,14040
Málaga,12960,54470,1292,550
Sevilla,16438,48728,1579,3987
ANDALUCÍA,58681,183345,70586,151642
Las Palmas,0,0,6,5
S.C. de Tenerife,0,0,85,85
CANARIAS,0,0,91,90
ESPAÑA,2416480,9276056,811877,2669263
